,fname,text
0,,". O'zbek tilidagi onlayn kurslar | Mohirdev ta'lim platformasiKasblar KasblarKurslar KurslarFikrlar FikrlarKirishKirishMohirdev onlayn ta’lim platformasiDasturlashgaoid kasblarnio’rgatamiz Dasturlashga oid kasblarni o’rgatamizO’qishni boshlashIstalgan joyda, o’zingizga qulay vaqtda o’qish imkoniyati50 000+Jami tahsil olayotgan o’quvchilarimiz50+Platformamizda mavjud kurslar soni30+Uzoq yillik tajribaga ega ustozlarimizKurslarDavomiyligi qisqa va sohaning ma'lum qismini qamrab olgan kurslar. Sohadagi o'zingizda mavjud bo'shliqni to'ldiring.16 ta kurs KasblarKasbga yo'naltirilgan praktikum kurslari. 0 dan boshlab ishga tayyor bo'lib chiqing.17 ta kasb Mohirdev jamoasiNima uchun Mohirdevdao’qish kerak ? Videoni ko’rishO’quvchilarimiz fikrlari Videoni ko'rishIsmoil Marufxonov""QA - Sifat Nazorati"" kursi bitiruvchisiVideoni ko'rishBobomurod Toshboyev""Project Management"" kurs o'quvchisiVideoni ko'rishAvzalbek""QA - Sifat Nazorati"" kursi o'quvchisiVideoni ko'rishAbdulaziz""Data Science va Sun'iy Intellekt"" kursi o'quvchisiVideoni ko'rishMirzo""Full Stack Python"" kursi bitiruvchisiVideoni ko'rishMurodxo'ja Erkinxo'jayev""Digital Marketing & Ecommerce"" kursi bitiruvchisiVideoni ko'rishAbdug'affor Abdukarimov""Project Management"" kursi bitiruvchisiVideoni ko'rishPardayev Diyor""Data Science va Sun'iy Intellekt"" praktikumi o'quvchisiBarchasini ko'rishKasblarKasbga yo'nalitirilgan praktikumlar yordamida eng tez va samarali yo'llar bilan mutaxassislar qatoriga qo'shiling. Har bir praktikum soha mutaxassislari tomonidan eng zamoaviy o'quv reja asosida tayyorlangan.Barcha kasblar BoshqalarDizaynFrontendMobilBackendFull StackSun'iy IntellektAdham ZohirovSunʼiy intellekt - NLP (nutq bilan ishlash) - oldindan qabulBatafsil Anvar Narzullaev • Mansurbek AbdullayevData Science va Sun'iy IntellektBatafsil Muhammadaziz Xoliqberdiyev • Abdufattoh AbdurahmonovQA - тестировщикBatafsil Abdulla XaydarovProject ManagementBatafsil Mahmudjon Qalandarov • Zohidjon AkbarovAndroid & Kotlin dasturlashBatafsil Sardor DushamovPHP & Yii dasturlashBatafsil G’ayratjon Rayimjonov • Azizbek HusenovFull Stack JavaBatafsil Bexruz XolmuminovNode.js praktikumBatafsil Azizbek XolmanovRobototexnikaBatafsil Yunusbek SadullaeviOS & Swift dasturlashBatafsil Jahongir Rahmonov • Anvar NarzullaevFull Stack PythonBatafsil Elbek Normurodov.NET dasturlashBatafsil Muhammadjavohir Sur'atovFront-End dasturlashBatafsil Muhammad Xalil • Muslim RahmonovDigital Marketing & EcommerceBatafsil Ismoil SafarovSocial Media DesignBatafsil Ismoil SafarovUX/UI DesignBatafsil Behzod BotirovEnglish for ITBatafsil Yana 11 ta ko’rsatish G’ayratjon Rayimjonov • Azizbek HusenovFull Stack JavaBatafsil Bexruz XolmuminovNode.js praktikumBatafsil Azizbek XolmanovRobototexnikaBatafsil Sun'iy Intellekt2 Adham ZohirovSunʼiy intellekt - NLP (nutq bilan ishlash) - oldindan qabulBatafsil Anvar Narzullaev • Mansurbek AbdullayevData Science va Sun'iy IntellektBatafsil Boshqalar5 Muhammadaziz Xoliqberdiyev • Abdufattoh AbdurahmonovQA - тестировщикBatafsil Abdulla XaydarovProject ManagementBatafsil Azizbek XolmanovRobototexnikaBatafsil Muhammad Xalil • Muslim RahmonovDigital Marketing & EcommerceBatafsil Behzod BotirovEnglish for ITBatafsil Mobil2 Mahmudjon Qalandarov • Zohidjon AkbarovAndroid & Kotlin dasturlashBatafsil Yunusbek SadullaeviOS & Swift dasturlashBatafsil Backend3 Sardor DushamovPHP & Yii dasturlashBatafsil Bexruz XolmuminovNode.js praktikumBatafsil Elbek Normurodov.NET dasturlashBatafsil Full Stack2 G’ayratjon Rayimjonov • Azizbek HusenovFull Stack JavaBatafsil Jahongir Rahmonov • Anvar NarzullaevFull Stack PythonBatafsil Frontend1 Muhammadjavohir Sur'atovFront-End dasturlashBatafsil Dizayn2 Ismoil SafarovSocial Media DesignBatafsil Ismoil SafarovUX/UI DesignBatafsil Mohirdev mobil ilovasiMohirdev mobil ilovasi orqali darslarni oson va qulay o’zlashtiring. Bilimlaringizni istalgan joyda va sizga qulay vaqtda oshirib boring. Mohirdev mobil ilovasi bilan zamonaviy kasblarni tezda o’rganingYuklab olingTez kunda...Kurslar Mashhur kurslar Bepul kurslar Boshqalar Frontend Backend102 o'quvchiMukammal Telegram botUshbu darsimizda siz barcha talablarga javob beradigan, zamonaviy Telegram bot yaratishni oʻrganasiz.247 000 so'm6 o'quvchiProfessional Node.JS: Noldan e’lonlar saytini yaratamizKurs boshidan boshlab sizga barcha kerakli bilimlarni beradi. Kurs deyarli to'liq amaliyotga bag'ishlangan. Kurs yakunida biz huddi OLX ga o’xshagan e’lonlar saytini boshidan ohirigacha qilib tugatamiz va uni internetga joylaymiz. Portfoliongiz uchun ajoyib proyekt bo’ladi.247 000 so'm1605 o'quvchiDasturlash asoslari. PythonPython dasturlash tilini mukammal darslik asosida o'rganing.Bepul663 o'quvchiDjango 3 – Pythonda Full stack Web DasturlashKurs davomida amaliy loyihalar yaratish orqali maʼlumotlar bazasi bilan ishlash, frontend va backendni bogʻlash, foydalanuvchilarni autentifikasiya qilish, loyihalarni serverga yuklash kabi bilimlarga ega boʻlasiz.Bepul506 o'quvchiHTMLda dasturlashBu kurs davomida sizlar HTMLda veb sayt yaratish uchun kerak bo’ladigan barcha kerakli bilimlarga ega bo’lasizlar.Bepul464 o'quvchiFrontend dasturlash asoslariUshbu kursimizda siz frontend dasturlashni amaliy ko'rinishda noldan sayt tuzib o'rganishingiz mumkin..BepulBarchasini ko'rsatishO’zingizga mos sohani topishga qiynalyapsizmi?Ushbu qisqa viktorina sizni qaysi kursni tanlashingizda taklif beradi. Shaxsiy karyera bo'yicha maslahat va kurs tavsiyalarini olish uchun bir nechta oddiy savollarga javob bering.5 daqiqalik testTajribali ustozlarimiz Jahongir RahmonovAmazon Web Service (AWS)7 yillik tajribaga ega Software Engineer.Elbek NormurodovExcadel va Piorsoft kompaniyalarida .NET dasturchi sifatida faoliyat olib boradi.Anvar NarzullaevUniversiti Sains Islam Malaysia oliygohi Kompyuter Texnologiyalari kafedrasi yetakchi mutaxassisi.Muhammad XalilKo'p yillik tajribaga ega mutaxassis. Bir nechta bizneslar egasi. Mohirdev asoschilaridan biri.Muslim Rahmonov3 yildan ortiq tajribaga ega mutaxassis. Asosiy faoliyati Shopifydagi elektron bozorlar va Amazon FBA bilan bog’liq.G'ayratjon RayimjonovIT sohasida 12 yildan ortiq tajribaga ega. London shahrining Xalqaro SafeNetPay kompaniyasida Senior Software EngineerMansurbek AbdullaevKorea Research Institute of Chemical Technology tadqiqotchi mutaxassisIsmoil Safarov5 yillik tajribaga ega, Socially Design Agency asoschisi va Art direktoriUlug'bek SamigjonovVeed.io kompaniyasida Growth Engineer, Toptal freelancer platformasi a'zosiAzizbek HusenovDevelopment Team Lead, EPGBehzod Botirov2014-yildan beri dars berib keladi. YouTubeda 60.0000 dan ziyod obunachilarga ega bo’lgan professional o’qituvchiMuhammadjavohir Sur'atovMohirdev Ta'lim bo'limi boshlig'iUzoq yillik tajribaga ega Frontend dasturchi, Mayoq loyihasi muallifiHamkorlarimizKasb tanlashdagi birinchi yordamni beramiz!Ma’lumotlaringizni qoldiring va sizga tez fursatda aloqaga chiqamizIsmingiz Telefon raqamingizXatolik yuz berdi. Qaytadan urinib ko'ring Chet-el telefon raqamidan foydalanamanJo'natish Loading...Tugmani bosib, maxfiylik siyosati va foydalanuvchi shartnomasining shartlarini qabul qilgan bo'lasiz+998 (78) 113 13 10Toshkent shahar, Mirzo Ulug'bek tumani, Muminov ko’chasi, 4APlatformaKasblarKurslarKompaniyaBiz haqimizdaBlogOmmaviy ofertaMaxfiylik siyosatiMa’lumotBog'lanishBo'lib to'lashQanday xarid qilinadi?Voucher qo'llanmaChegirmalarFAQFikrlarTasdiqnomaGuvohnomaIT PARK rezidentiMohirdev mobil ilovasi © Mohirdev 2023. Barcha huquqlari himoyalangan."
1,urslar postgresql,"urslar postgresql.   PostgreSQL to’liq qo’llanma        Kurslar  C++ dasturlash asoslari C++ dasturlash asoslari Mukammal Telegram bot Mukammal Telegram bot Professional Node.JS: Noldan e’lonlar saytini yaratamiz Professional Node.JS: Noldan e’lonlar saytini yaratamiz Dasturlash asoslari. Python Dasturlash asoslari. Python Django 3 – Pythonda Full stack Web Dasturlash Django 3 – Pythonda Full stack Web Dasturlash Maʼlumotlar tuzilmasi va algoritmlar Maʼlumotlar tuzilmasi va algoritmlar HTMLda dasturlash HTMLda dasturlash Frontend dasturlash asoslari Frontend dasturlash asoslari CSS bo’yicha mukammal kurs CSS bo’yicha mukammal kurs Bootstrap 5 bo’yicha mukammal kurs Bootstrap 5 bo’yicha mukammal kurs TypeScript asoslari TypeScript asoslari Git versiya boshqaruv tizimi Git versiya boshqaruv tizimi PostgreSQL to’liq qo’llanma PostgreSQL to’liq qo’llanma Kotlinda algoritm va masalalar yechish Kotlinda algoritm va masalalar yechish Yii2 framework bo’yicha o’zbek tilida darslar Yii2 framework bo’yicha o’zbek tilida darslar Django Rest Framework darslari Django Rest Framework darslari  Kirish  Kirish   C++ dasturlash asoslari Mukammal Telegram bot Professional Node.JS: Noldan e’lonlar saytini yaratamiz Dasturlash asoslari. Python Django 3 – Pythonda Full stack Web Dasturlash Maʼlumotlar tuzilmasi va algoritmlar HTMLda dasturlash Frontend dasturlash asoslari CSS bo’yicha mukammal kurs Bootstrap 5 bo’yicha mukammal kurs TypeScript asoslari Git versiya boshqaruv tizimi PostgreSQL to’liq qo’llanma Kotlinda algoritm va masalalar yechish Yii2 framework bo’yicha o’zbek tilida darslar Django Rest Framework darslari       Kursdagi boshqa ochiq darslar Node.js va PostgreSQL orqali REST API quramiz 00:53:00 PostgreSQL 2-dars. Database yaratish, unga ulanish va o'chirish 00:08:00 PostgreSQL 3-dars. Table yaratish, uni o'chirish va Data Typle lar haqida. 00:11:00 PostgreSQL 4-dars. Jadvalga ma'lumot yozish. (INSERT INTO) 00:07:00 PostgreSQL 5-dars. Mokaroo sayti orqali default datalar yaratish 00:11:00 PostgreSQL 6-dars. SELECT FROM orqali jadvaldagi ma'lumotlarni olish 00:04:00 PostgreSQL 7-dars. ORDER BY orqali ma'lumotlarni sortirovka qilish 00:09:00 PostgreSQL 8-dars. DISTINCT va WHERE, AND buyruqlari haqida 00:06:00 PostgreSQL 9-dars. Limit, offset va fetch buyruqlari haqida 00:10:00 PostgreSQL 10-dars. BETWEEN, LIKE va ILIKE buyruqlari 00:10:00 PostgreSQL 11-dars. GROUP BY va HAVING 00:05:00 PostgreSQL 1-dars. Kompyuterimizga Postgresni o'rnatamiz 00:07:00 PostgreSQL 14-dars. COALESCE va NULLIF haqida 00:10:00 PostgreSQL 12-dars. Aggregat Funksiyalar haqida 00:11:00 PostgreSQL 13-dars. Arifmetik operatsiyalar va ALIAS 00:10:00 PostgreSQL 15-dars. TIMESTAMPS, Data Types va AGE haqida 00:10:00 PostgreSQL 16-dars. PRIMARY KEY haqida tushuncha 00:11:00 PostgreSQL 17-dars. UNIQUE 00:09:00 PostgreSQL 18-dars. CHECK haqida 00:08:00 PostgreSQL 19-dars. DELETE FROM buyrug'i 00:07:00 PostgreSQL 20-dars. UPDATE so'rovi 00:03:00 PostgreSQL 21-dars. FOREIGN KEY, RELATIONSHIP, JOIN lar haqida 00:14:00 PostgreSQL 22-dars. INNER JOIN haqida 00:07:00 PostgreSQL 23-dars. LEFT JOIN haqida 00:04:00 PostgreSQL 24-dars. RIGHT JOIN haqida 00:06:00 PostgreSQL 25-dars. FOREIGN KEYga bog'langan datani DELETE qilish 00:06:00 PostgreSQL 26-dars. Ma'lumotlarni CSV faylga import qilish 00:05:00    PostgreSQL to’liq qo’llanma Kurs davomida hozirgi kunda ancha keng tarqalgan va keng miqyosda qo'llaniladigan ma'lumotlar omborini ishlatishni o'rganasiz va deyarli barcha ""use case"" larni ya'ni ko'p ishlatiladigan barcha holatlarni ko'rib chiqamiz. Bu kursni o'rganib siz keyinchalik tilidagi boshqa databaselarda (MySQL, MariaDB ...) ham ishlay olishingiz mumkin. Boshlash Ochiq qismini ko'rish Kursdagi ochiq videolarni, hech qanday to’lovlarsiz ko’rib, tanishib chiqishingiz mumkin.  Boshlash   PostgreSQL - asosiy tushunchalar PostgreSQL - bu relyatsion ma'lumotlar omborini boshqarish tizimi. Ya'ni, ma'lumotlarni boshqarish tizimi bo'lib, u aloqalar(relation) ko'rinishida taqdim etiladi. Aloqa - jadvallarni matemetik aniq ifodalash. Ma'lumotlarni jadvallarda saqlash hozirgi vaqtda shunchalik tarqalganki, huddi bu ma'lumotlarni saqlashni eng tabiiy yo'li hisoblanadigandek. Lekin ma'lumotlarni saqlashni turli xil boshqa yo'llari mavjud. Masalan, Unix oilasiga kirivchi operatsion tizimlarda fayllar va kataloglar iyerarxik ko'rinishdagi ma'lumotlar ombori. Bundan tashqari hozirgi kunda, opyektga yo'naltirilgan ma'lumotlar ombori juda tez rivojlanmoqda. Har qanday jadval, nomlangan qatorlardan tashkil topadi. Jadvaldagi hamma qatorlar bir xil nomlangan ustinlardan tashkil topadi. Bu holatda har bitta ustun uchun qandaydir bir tipni ko'rsatish mumkin. Ya'ni bu ustunga tegishli ma'lumotlar qaysi tipda bo'lishi mumkinligini aniqlab olish. Ustunlar tartibi hamma qatorlarda aniq o'zgarmas bo'lada, SQL jadvalda aniq bir tartibni saqlab bermaydi, lekin uni so'rov vaqtida tartiblash mumkin bo'ladi. Jadvallar ma'lumotlar omboriga birlashtiriladi, aniq bir PostgreSQL serverdagi ma'lumotlar ombori esa ma'lumotlar ombori klasteri tashkil etadi.  Kurs qanday tartibda o'tiladi?  Yopiq guruh Telegramdagi yopiq guruhda o'quvchilar istalgan vaqt o'qituvchilar va mentorlardan o'zlarini qiziqtirgan savollarga javob topishi mumkin. Ular har doim yordamga tayyor turishadi.  Videodarslar Darslar video shaklda platformaga joylangan bo'lib, ularni xohlagan payt, istalgan joyda ko'rishingiz mumkin. Videodarslar yangilanib boriladi.  Vazifalar Modul oxirida test topshiriqlari berilgan. Testdan muvaffaqiyatli o'tgan o'quvchilargina keyingi moduldagi darslarga kirish imkoniga ega bo'ladi.  Kurs tarkibi 27 ta dars 4 soat kurs davomiyligi  01 BONUS   Node.js va PostgreSQL orqali REST API quramiz 00:53:00 Ko'rish   02 DATABASE YARATISH   PostgreSQL 2-dars. Database yaratish, unga ulanish va o'chirish 00:08:00 Ko'rish  PostgreSQL 3-dars. Table yaratish, uni o'chirish va Data Typle lar haqida. 00:11:00 Ko'rish   03 ASOSIY SQL SO'ROVLAR   PostgreSQL 4-dars. Jadvalga ma'lumot yozish. (INSERT INTO) 00:07:00 Ko'rish  PostgreSQL 5-dars. Mokaroo sayti orqali default datalar yaratish 00:11:00 Ko'rish  PostgreSQL 6-dars. SELECT FROM orqali jadvaldagi ma'lumotlarni olish 00:04:00 Ko'rish  PostgreSQL 7-dars. ORDER BY orqali ma'lumotlarni sortirovka qilish 00:09:00 Ko'rish  PostgreSQL 8-dars. DISTINCT va WHERE, AND buyruqlari haqida 00:06:00 Ko'rish  PostgreSQL 9-dars. Limit, offset va fetch buyruqlari haqida 00:10:00 Ko'rish  PostgreSQL 10-dars. BETWEEN, LIKE va ILIKE buyruqlari 00:10:00 Ko'rish  PostgreSQL 11-dars. GROUP BY va HAVING 00:05:00 Ko'rish   04 PostgreSQL 1-dars. Kompyuterimizga Postgresni o'rnatamiz   PostgreSQL 1-dars. Kompyuterimizga Postgresni o'rnatamiz 00:07:00 Ko'rish   05 BOSHQA OPERATSIYALAR   PostgreSQL 14-dars. COALESCE va NULLIF haqida 00:10:00 Ko'rish  PostgreSQL 12-dars. Aggregat Funksiyalar haqida 00:11:00 Ko'rish  PostgreSQL 13-dars. Arifmetik operatsiyalar va ALIAS 00:10:00 Ko'rish  PostgreSQL 15-dars. TIMESTAMPS, Data Types va AGE haqida 00:10:00 Ko'rish   06 MA'LUMOTLAR BILAN ISHLASH   PostgreSQL 16-dars. PRIMARY KEY haqida tushuncha 00:11:00 Ko'rish  PostgreSQL 17-dars. UNIQUE 00:09:00 Ko'rish  PostgreSQL 18-dars. CHECK haqida 00:08:00 Ko'rish  PostgreSQL 19-dars. DELETE FROM buyrug'i 00:07:00 Ko'rish  PostgreSQL 20-dars. UPDATE so'rovi 00:03:00 Ko'rish   07 FOREIGN KEY, RELATIONSHIPS, JOINS   PostgreSQL 21-dars. FOREIGN KEY, RELATIONSHIP, JOIN lar haqida 00:14:00 Ko'rish  PostgreSQL 22-dars. INNER JOIN haqida 00:07:00 Ko'rish  PostgreSQL 23-dars. LEFT JOIN haqida 00:04:00 Ko'rish  PostgreSQL 24-dars. RIGHT JOIN haqida 00:06:00 Ko'rish  PostgreSQL 25-dars. FOREIGN KEYga bog'langan datani DELETE qilish 00:06:00 Ko'rish  PostgreSQL 26-dars. Ma'lumotlarni CSV faylga import qilish 00:05:00 Ko'rish   Barchasini ko'rish  Qisqartirish   Kursni tugatib sertifikatga ega bo'lasiz test Sertifikatni tekshirish   Kurs o'qituvchisi   Behruz Xolmominov Senior dasturchi Uzoq yillik tajribaga ega mutaxassis   Bu kursni o’rganishni hoziroq boshlang Bir umrlik foydalanish imkoniyati Video darslar Testlar Loyihalar Yuklab olinadigan manbaalar Mobil qurilma orqali kirish  Bepul Kursni bepulga oling va hoziroq o'rganishni boshlang.  Boshlash     +998 (78) 113 13 10 Toshkent shahar, Mirzo Ulug'bek tumani, Muminov ko’chasi, 4A  Platforma Kasblar Kurslar  Kompaniya Biz haqimizda Blog Ommaviy oferta Maxfiylik siyosati  Ma’lumot Bog'lanish Bo'lib to'lash Qanday xarid qilinadi? Voucher qo'llanma Chegirmalar FAQ Fikrlar   Tasdiqnoma Guvohnoma  IT PARK rezidenti  Mohirdev mobil ilovasi      © Mohirdev 2023. Barcha huquqlari himoyalangan.        "
2,kurslar,"kurslar. O'zbek tilidagi onlayn kurslar | Mohirdev ta'lim platformasiKasblar KasblarKurslar KurslarFikrlar FikrlarKirishKirishMohirdev onlayn ta’lim platformasiDasturlashgaoid kasblarnio’rgatamiz Dasturlashga oid kasblarni o’rgatamizO’qishni boshlashIstalgan joyda, o’zingizga qulay vaqtda o’qish imkoniyati50 000+Jami tahsil olayotgan o’quvchilarimiz50+Platformamizda mavjud kurslar soni30+Uzoq yillik tajribaga ega ustozlarimizKurslarDavomiyligi qisqa va sohaning ma'lum qismini qamrab olgan kurslar. Sohadagi o'zingizda mavjud bo'shliqni to'ldiring.16 ta kurs KasblarKasbga yo'naltirilgan praktikum kurslari. 0 dan boshlab ishga tayyor bo'lib chiqing.17 ta kasb Mohirdev jamoasiNima uchun Mohirdevdao’qish kerak ? Videoni ko’rishO’quvchilarimiz fikrlari Videoni ko'rishIsmoil Marufxonov""QA - Sifat Nazorati"" kursi bitiruvchisiVideoni ko'rishBobomurod Toshboyev""Project Management"" kurs o'quvchisiVideoni ko'rishAvzalbek""QA - Sifat Nazorati"" kursi o'quvchisiVideoni ko'rishAbdulaziz""Data Science va Sun'iy Intellekt"" kursi o'quvchisiVideoni ko'rishMirzo""Full Stack Python"" kursi bitiruvchisiVideoni ko'rishMurodxo'ja Erkinxo'jayev""Digital Marketing & Ecommerce"" kursi bitiruvchisiVideoni ko'rishAbdug'affor Abdukarimov""Project Management"" kursi bitiruvchisiVideoni ko'rishPardayev Diyor""Data Science va Sun'iy Intellekt"" praktikumi o'quvchisiBarchasini ko'rishKasblarKasbga yo'nalitirilgan praktikumlar yordamida eng tez va samarali yo'llar bilan mutaxassislar qatoriga qo'shiling. Har bir praktikum soha mutaxassislari tomonidan eng zamoaviy o'quv reja asosida tayyorlangan.Barcha kasblar BoshqalarDizaynFrontendMobilBackendFull StackSun'iy IntellektAdham ZohirovSunʼiy intellekt - NLP (nutq bilan ishlash) - oldindan qabulBatafsil Anvar Narzullaev • Mansurbek AbdullayevData Science va Sun'iy IntellektBatafsil Muhammadaziz Xoliqberdiyev • Abdufattoh AbdurahmonovQA - тестировщикBatafsil Abdulla XaydarovProject ManagementBatafsil Mahmudjon Qalandarov • Zohidjon AkbarovAndroid & Kotlin dasturlashBatafsil Sardor DushamovPHP & Yii dasturlashBatafsil G’ayratjon Rayimjonov • Azizbek HusenovFull Stack JavaBatafsil Bexruz XolmuminovNode.js praktikumBatafsil Azizbek XolmanovRobototexnikaBatafsil Yunusbek SadullaeviOS & Swift dasturlashBatafsil Jahongir Rahmonov • Anvar NarzullaevFull Stack PythonBatafsil Elbek Normurodov.NET dasturlashBatafsil Muhammadjavohir Sur'atovFront-End dasturlashBatafsil Muhammad Xalil • Muslim RahmonovDigital Marketing & EcommerceBatafsil Ismoil SafarovSocial Media DesignBatafsil Ismoil SafarovUX/UI DesignBatafsil Behzod BotirovEnglish for ITBatafsil Yana 11 ta ko’rsatish G’ayratjon Rayimjonov • Azizbek HusenovFull Stack JavaBatafsil Bexruz XolmuminovNode.js praktikumBatafsil Azizbek XolmanovRobototexnikaBatafsil Sun'iy Intellekt2 Adham ZohirovSunʼiy intellekt - NLP (nutq bilan ishlash) - oldindan qabulBatafsil Anvar Narzullaev • Mansurbek AbdullayevData Science va Sun'iy IntellektBatafsil Boshqalar5 Muhammadaziz Xoliqberdiyev • Abdufattoh AbdurahmonovQA - тестировщикBatafsil Abdulla XaydarovProject ManagementBatafsil Azizbek XolmanovRobototexnikaBatafsil Muhammad Xalil • Muslim RahmonovDigital Marketing & EcommerceBatafsil Behzod BotirovEnglish for ITBatafsil Mobil2 Mahmudjon Qalandarov • Zohidjon AkbarovAndroid & Kotlin dasturlashBatafsil Yunusbek SadullaeviOS & Swift dasturlashBatafsil Backend3 Sardor DushamovPHP & Yii dasturlashBatafsil Bexruz XolmuminovNode.js praktikumBatafsil Elbek Normurodov.NET dasturlashBatafsil Full Stack2 G’ayratjon Rayimjonov • Azizbek HusenovFull Stack JavaBatafsil Jahongir Rahmonov • Anvar NarzullaevFull Stack PythonBatafsil Frontend1 Muhammadjavohir Sur'atovFront-End dasturlashBatafsil Dizayn2 Ismoil SafarovSocial Media DesignBatafsil Ismoil SafarovUX/UI DesignBatafsil Mohirdev mobil ilovasiMohirdev mobil ilovasi orqali darslarni oson va qulay o’zlashtiring. Bilimlaringizni istalgan joyda va sizga qulay vaqtda oshirib boring. Mohirdev mobil ilovasi bilan zamonaviy kasblarni tezda o’rganingYuklab olingTez kunda...Kurslar Mashhur kurslar Bepul kurslar Boshqalar Frontend Backend102 o'quvchiMukammal Telegram botUshbu darsimizda siz barcha talablarga javob beradigan, zamonaviy Telegram bot yaratishni oʻrganasiz.247 000 so'm6 o'quvchiProfessional Node.JS: Noldan e’lonlar saytini yaratamizKurs boshidan boshlab sizga barcha kerakli bilimlarni beradi. Kurs deyarli to'liq amaliyotga bag'ishlangan. Kurs yakunida biz huddi OLX ga o’xshagan e’lonlar saytini boshidan ohirigacha qilib tugatamiz va uni internetga joylaymiz. Portfoliongiz uchun ajoyib proyekt bo’ladi.247 000 so'm1605 o'quvchiDasturlash asoslari. PythonPython dasturlash tilini mukammal darslik asosida o'rganing.Bepul663 o'quvchiDjango 3 – Pythonda Full stack Web DasturlashKurs davomida amaliy loyihalar yaratish orqali maʼlumotlar bazasi bilan ishlash, frontend va backendni bogʻlash, foydalanuvchilarni autentifikasiya qilish, loyihalarni serverga yuklash kabi bilimlarga ega boʻlasiz.Bepul506 o'quvchiHTMLda dasturlashBu kurs davomida sizlar HTMLda veb sayt yaratish uchun kerak bo’ladigan barcha kerakli bilimlarga ega bo’lasizlar.Bepul464 o'quvchiFrontend dasturlash asoslariUshbu kursimizda siz frontend dasturlashni amaliy ko'rinishda noldan sayt tuzib o'rganishingiz mumkin..BepulBarchasini ko'rsatishO’zingizga mos sohani topishga qiynalyapsizmi?Ushbu qisqa viktorina sizni qaysi kursni tanlashingizda taklif beradi. Shaxsiy karyera bo'yicha maslahat va kurs tavsiyalarini olish uchun bir nechta oddiy savollarga javob bering.5 daqiqalik testTajribali ustozlarimiz Jahongir RahmonovAmazon Web Service (AWS)7 yillik tajribaga ega Software Engineer.Elbek NormurodovExcadel va Piorsoft kompaniyalarida .NET dasturchi sifatida faoliyat olib boradi.Anvar NarzullaevUniversiti Sains Islam Malaysia oliygohi Kompyuter Texnologiyalari kafedrasi yetakchi mutaxassisi.Muhammad XalilKo'p yillik tajribaga ega mutaxassis. Bir nechta bizneslar egasi. Mohirdev asoschilaridan biri.Muslim Rahmonov3 yildan ortiq tajribaga ega mutaxassis. Asosiy faoliyati Shopifydagi elektron bozorlar va Amazon FBA bilan bog’liq.G'ayratjon RayimjonovIT sohasida 12 yildan ortiq tajribaga ega. London shahrining Xalqaro SafeNetPay kompaniyasida Senior Software EngineerMansurbek AbdullaevKorea Research Institute of Chemical Technology tadqiqotchi mutaxassisIsmoil Safarov5 yillik tajribaga ega, Socially Design Agency asoschisi va Art direktoriUlug'bek SamigjonovVeed.io kompaniyasida Growth Engineer, Toptal freelancer platformasi a'zosiAzizbek HusenovDevelopment Team Lead, EPGBehzod Botirov2014-yildan beri dars berib keladi. YouTubeda 60.0000 dan ziyod obunachilarga ega bo’lgan professional o’qituvchiMuhammadjavohir Sur'atovMohirdev Ta'lim bo'limi boshlig'iUzoq yillik tajribaga ega Frontend dasturchi, Mayoq loyihasi muallifiHamkorlarimizKasb tanlashdagi birinchi yordamni beramiz!Ma’lumotlaringizni qoldiring va sizga tez fursatda aloqaga chiqamizIsmingiz Telefon raqamingizXatolik yuz berdi. Qaytadan urinib ko'ring Chet-el telefon raqamidan foydalanamanJo'natish Loading...Tugmani bosib, maxfiylik siyosati va foydalanuvchi shartnomasining shartlarini qabul qilgan bo'lasiz+998 (78) 113 13 10Toshkent shahar, Mirzo Ulug'bek tumani, Muminov ko’chasi, 4APlatformaKasblarKurslarKompaniyaBiz haqimizdaBlogOmmaviy ofertaMaxfiylik siyosatiMa’lumotBog'lanishBo'lib to'lashQanday xarid qilinadi?Voucher qo'llanmaChegirmalarFAQFikrlarTasdiqnomaGuvohnomaIT PARK rezidentiMohirdev mobil ilovasi © Mohirdev 2023. Barcha huquqlari himoyalangan."
